x	y
77	43
103	100
1	17
16	68
43	100
111	73
6	49
91	109
68	125
37	30
33	104
89	75
91	103
88	25
76	44
36	104
72	20
6	44
26	55
57	104
46	24
22	100
43	69
74	90
43	5
108	70
97	55
3	59
71	98
57	100
2	70
16	90
1	57
86	33
14	40
102	18
42	95
4	65
82	4
3	69
23	59
23	60
61	72
26	90
26	43
31	40
71	90
72	100
21	82
2	63
104	90
72	88
81	59
51	2
86	42
34	125
36	28
43	59
72	74
122	20
89	70
2	14
41	125
111	43
42	24
36	90
63	24
26	22
91	97
89	60
106	22
76	113
2	19
11	88
68	14
87	95
42	23
98	60
4	60
42	28
42	44
6	22
111	42
94	95
87	94
13	125
43	59
3	19
74	65
19	25
12	73
93	59
101	90
23	25
37	43
69	55
43	94
102	125
2	78
91	73
86	60
21	24
6	87
99	125
3	80
42	89
22	54
58	100
129	125
63	125
23	69
61	58
1	25
76	25
24	70
68	60
6	103
66	108
98	125
2	125
96	100
87	3
22	125
122	25
91	77
106	68
6	60
13	100
21	62
33	90
11	125
46	63
26	125
2	68
68	69
76	43
67	125
76	25
86	72
91	123
37	95
44	100
102	40
2	94
102	44
2	55
91	25
94	100
56	125
91	3
102	78
87	73
122	69
7	20
69	55
71	43
2	24
59	125
87	69
51	67
101	44
43	69
56	8
76	25
88	100
4	55
57	74
16	72
74	125
2	108
91	69
43	94
21	92
121	100
14	40
56	108
78	90
43	130
72	73
112	25
42	18
101	67
89	25
11	80
37	55
54	5
81	99
102	79
1	87
11	90
76	3
66	43
91	14
12	73
91	90
11	60
103	100
72	13
96	3
3	80
97	89
36	75
6	87
72	113
118	24
102	79
101	24
97	29
91	12
41	97
86	68
63	24
82	20
31	24
43	99
1	4
114	60
61	94
14	55
2	129
61	90
42	24
102	13
91	55
63	95
3	99
68	4
103	40
62	8
2	18
97	25
57	125
31	72
101	67
3	25
108	90
18	25
31	94
73	14
51	43
97	100
57	18
1	57
72	123
58	4
26	90
106	60
37	3
37	43
87	25
94	25
96	40
76	103
111	103
106	58
18	4
86	78
2	75
109	25
87	24
103	19
11	102
21	23
2	98
6	128
103	55
31	67
99	25
59	25
31	9
22	44
91	40
42	39
96	40
22	25
88	125
11	43
21	12
22	104
91	74
43	125
11	70
91	80
11	68
4	60
87	60
11	125
102	94
61	18
76	69
18	90
73	80
102	23
2	88
26	73
71	102
88	125
37	25
97	13
56	63
73	94
24	115
11	90
57	13
39	25
57	25
6	20
87	79
42	90
56	33
86	22
11	73
96	102
24	90
54	125
8	4
104	90
31	65
21	14
72	73
87	70
91	43
122	69
78	74
87	94
94	25
62	3
88	5
2	125
3	25
112	43
73	55
111	94
1	90
46	113
14	25
42	125
33	125
18	60
96	10
31	59
102	93
89	25
87	33
8	59
11	55
68	125
21	43
122	68
23	69
6	55
91	37
57	73
31	108
57	125
42	24
43	90
56	24
111	2
24	100
22	3
91	125
76	23
87	123
16	42
43	24
91	24
13	70
24	120
37	25
122	15
64	25
108	90
26	57
43	100
126	60
2	68
16	114
57	8
6	69
72	100
64	125
87	69
98	34
69	35
98	44
11	87
91	77
43	55
24	80
1	67
43	25
24	100
26	57
97	55
57	95
21	5
1	62
91	45
37	59
13	104
87	3
6	72
93	94
104	25
16	73
72	73
59	60
23	24
2	109
96	68
6	74
16	99
72	125
61	65
43	94
31	3
61	2
76	24
3	59
101	90
31	129
22	98
7	24
76	13
22	74
22	93
36	34
89	125
3	20
3	55
21	74
8	44
91	104
58	4
21	2
56	34
31	72
42	25
103	69
9	125
73	20
102	69
69	125
87	64
128	24
111	68
99	40
11	5
6	125
6	100
87	23
1	5
56	90
56	42
72	4
69	35
91	23
21	54
24	90
69	125
112	104
26	3
102	35
1	15
41	23
63	100
37	104
91	104
76	22
21	88
96	113
34	125
87	25
46	9
96	22
28	125
86	93
34	25
72	90
57	74
76	57
76	60
26	13
68	90
91	100
23	4
2	125
11	57
91	98
91	43
3	94
66	42
102	125
16	68
42	68
87	20
91	125
22	14
74	65
57	94
68	44
58	125
111	40
22	88
102	93
2	125
16	113
111	25
23	125
42	59
106	24
128	60
37	3
64	5
106	35
68	90
21	90
71	93
102	59
68	24
31	100
1	25
6	55
73	74
42	90
16	68
112	80
3	34
86	24
22	94
29	125
16	78
22	58
96	3
91	57
72	125
3	89
36	99
91	118
26	89
91	99
22	125
57	29
19	125
91	89
89	20
31	79
72	60
36	22
96	72
87	19
128	24
111	59
3	25
91	60
57	43
76	42
93	54
2	43
16	74
3	65
57	3
3	79
29	100
14	55
43	25
57	24
24	70
91	69
76	55
91	62
6	90
42	68
19	125
94	125
2	8
123	60
87	43
88	34
22	68
94	95
81	24
24	90
56	88
6	59
87	25
72	68
32	3
42	4
2	68
87	3
82	103
26	94
6	64
18	44
21	44
91	25
87	55
42	60
73	4
72	125
108	24
44	100
31	109
73	94
1	88
67	73
88	94
11	25
16	93
87	25
8	24
2	74
87	103
91	73
58	125
61	42
86	63
103	100
44	20
11	125
16	43
111	93
42	99
21	57
86	22
73	114
58	100
11	37
57	23
11	37
77	35
71	35
42	20
69	55
11	73
3	55
1	73
68	44
81	102
36	125
87	25
43	99
78	94
103	125
87	99
24	120
37	69
29	100
26	3
26	20
57	14
57	35
3	55
22	98
22	3
93	60
68	59
89	5
37	64
67	28
56	59
6	43
33	44
87	94
46	125
43	125
73	125
